200 tickets
Ticket 1:
_,15,26,36,_,_,67,_,84
Ticket 47:
_,_,27,30,_,54,_,70,83
_,_,29,33,_,55,_,72,87
_,13,_,35,_,58,_,75,88
Ticket 48:
_,16,_,30,42,58,_,70,_
_,_,22,39,44,_,_,72,81
1,_,26,_,47,_,_,78,86
Ticket 49:
3,_,23,_,43,50,_,_,81
_,_,24,_,45,_,62,73,88
9,_,_,_,48,56,63,78,_
Ticket 50:
1,_,_,34,45,54,_,78,_
2,_,_,35,_,57,64,_,89
9,11,29,38,_,_,68,_,_
Ticket 51:
_,16,20,33,49,_,60,_,_
1,_,25,35,_,_,_,73,80
_,_,26,36,_,56,66,76,_
Ticket 52:
3,10,_,_,43,_,61,_,85
_,12,24,_,_,_,64,72,87
4,_,25,_,47,57,_,74,_
Ticket 53:
_,_,22,_,_,56,66,76,80
2,_,_,34,47,_,67,78,_
_,19,26,36,_,58,_,79,_
Ticket 54:
3,_,25,30,_,52,64,_,_
7,17,_,33,_,_,67,72,_
9,18,28,34,49,_,_,_,_
Ticket 55:
2,_,26,34,_,_,66,_,83
5,_,28,35,44,_,68,_,_
8,_,_,36,_,58,_,71,84
Ticket 56:
_,_,27,_,46,53,61,_,82
_,13,28,_,49,_,63,_,_
8,17,_,_,_,57,68,_,88
Ticket 57:
2,_,20,_,46,58,_,_,80
5,14,21,33,_,_,_,_,83
9,_,29,35,_,_,64,_,88
Ticket 58:
9,13,_,30,_,50,_,_,85
_,19,26,35,_,55,_,71,_
_,_,_,39,44,59,67,78,_
Ticket 59:
9,13,_,_,45,_,62,71,_
_,_,22,_,_,55,64,76,86
_,16,28,36,_,58,65,_,_
Ticket 60:
_,10,_,34,_,51,_,70,80
_,11,22,_,_,55,_,71,88
_,12,_,39,_,59,68,77,_
Ticket 61:
_,_,28,_,_,_,60,71,81
_,18,_,_,47,54,66,79,_
9,_,29,_,_,59,68,_,85
Ticket 62:
2,_,23,30,_,51,_,71,_
6,15,_,_,40,59,63,_,_
_,17,_,33,41,_,66,72,_
Ticket 63:
_,_,23,_,_,50,60,70,81
_,_,29,_,_,56,62,74,_
1,16,_,_,_,_,64,77,86
Ticket 64:
4,13,25,_,42,_,64,_,_
_,19,27,_,45,_,65,_,89
9,_,28,30,49,_,67,_,_
Ticket 65:
4,15,21,37,40,_,_,_,_
6,17,_,_,45,56,66,_,_
_,18,26,_,48,_,_,75,86
Ticket 66:
3,11,26,37,_,_,_,_,83
8,14,_,39,42,_,_,_,86
_,15,_,_,45,54,_,71,88
Ticket 67:
_,15,22,32,_,_,60,78,_
5,_,23,_,44,_,61,_,82
6,17,_,_,_,59,64,_,83
Ticket 68:
3,13,20,_,_,51,64,_,_
6,_,_,32,41,52,65,_,_
7,18,21,37,_,_,66,_,_
Ticket 69:
_,17,_,36,45,_,61,_,_
5,_,22,_,_,50,68,71,_
8,_,23,_,_,_,69,73,84
Ticket 70:
_,16,_,_,42,50,65,73,_
_,_,_,34,49,52,68,_,81
4,_,22,37,_,53,_,_,83
Ticket 71:
_,10,21,30,_,51,_,72,_
2,13,_,33,_,_,_,78,85
7,_,24,_,49,55,62,_,_
Ticket 72:
8,10,20,_,_,_,62,_,87
9,15,21,39,_,_,67,_,_
_,17,_,_,48,58,69,79,_
Ticket 73:
1,13,_,_,42,_,61,_,85
_,19,23,31,43,_,_,_,86
_,_,25,37,47,_,66,_,87
Ticket 74:
_,11,_,_,44,50,_,70,81
4,13,20,_,_,53,_,_,84
8,14,25,33,_,59,_,_,_
Ticket 75:
_,10,_,30,_,52,63,_,88
3,18,_,_,_,57,67,73,_
6,_,21,_,_,_,68,74,89
Ticket 76:
_,_,25,30,_,54,60,_,85
5,17,_,32,_,58,_,_,89
_,_,_,38,46,59,64,73,_
Ticket 77:
_,10,_,30,_,52,_,78,80
_,13,23,_,44,59,_,_,81
2,17,_,39,47,_,66,_,_
Ticket 78:
_,13,_,30,44,_,61,_,80
9,_,_,34,46,_,63,_,88
_,_,26,_,_,57,68,76,89
Ticket 79:
_,10,22,35,_,_,_,71,80
6,11,23,_,_,_,60,_,85
_,19,25,_,40,_,64,_,87
Ticket 80:
4,11,20,_,_,_,60,_,87
_,_,24,_,47,57,_,70,88
_,19,27,30,_,59,_,71,_
Ticket 81:
_,_,24,_,42,_,61,74,80
4,_,27,_,43,_,_,77,82
_,_,_,37,46,_,67,79,84
Ticket 82:
_,10,23,30,48,_,_,76,_
_,11,_,31,_,58,_,_,81
_,13,28,38,_,59,_,78,_
Ticket 83:
_,12,_,_,44,57,_,72,85
_,13,_,37,48,_,61,78,_
6,_,22,_,49,_,69,_,87
Ticket 84:
_,_,26,_,_,55,62,71,88
3,_,_,_,47,57,63,72,_
_,16,_,39,_,_,66,73,89
Ticket 85:
3,_,21,30,_,_,_,71,86
7,_,23,36,_,53,_,77,_
9,_,_,38,48,_,_,78,87
Ticket 86:
1,_,21,34,42,_,_,_,83
3,14,_,38,_,_,65,72,_
7,19,28,39,_,59,_,_,_
Ticket 87:
_,15,_,34,_,_,62,71,_
6,17,_,39,42,_,_,72,_
8,_,_,_,48,52,69,74,_
Ticket 88:
_,14,20,31,_,52,67,_,_
_,15,25,33,_,_,_,78,84
_,17,_,39,40,55,_,_,89
Ticket 89:
_,_,21,_,42,57,_,_,81
5,18,_,_,46,59,_,71,_
7,_,28,_,49,_,61,_,83
Ticket 90:
1,_,_,_,_,53,61,70,80
5,_,24,33,_,_,62,78,_
8,11,28,_,46,_,68,_,_
Ticket 91:
_,_,21,_,47,54,61,_,81
_,15,27,34,_,_,_,74,_
5,18,29,37,_,_,62,_,_
Ticket 92:
3,10,_,_,45,_,_,72,80
9,12,21,31,_,_,_,_,86
_,_,23,32,46,51,66,_,_
Ticket 93:
_,14,25,_,_,_,_,71,80
1,19,_,_,_,52,61,_,83
7,_,_,_,48,55,65,_,88
Ticket 94:
1,_,20,_,_,52,62,_,82
4,_,_,_,_,55,65,73,83
8,_,_,33,_,_,66,74,87
Ticket 95:
5,19,_,31,42,_,_,_,80
_,_,23,32,_,_,60,72,83
8,_,28,_,46,51,68,_,_
Ticket 96:
4,14,_,35,40,_,_,_,81
7,_,23,_,43,_,_,77,82
8,_,25,36,48,_,62,_,_
Ticket 97:
2,_,22,_,43,_,_,70,86
_,12,24,_,46,_,_,76,87
8,16,29,_,47,_,_,78,_
Ticket 98:
_,_,23,_,40,_,65,_,83
_,16,_,30,43,_,68,70,_
9,17,_,33,_,_,69,73,_
Ticket 99:
5,12,25,31,43,_,_,_,_
8,16,_,33,_,_,63,74,_
_,18,_,_,47,_,68,77,89
Ticket 100:
_,15,29,_,43,_,_,74,82
1,_,_,_,46,54,_,76,88
5,19,_,_,49,_,68,79,_
Ticket 101:
_,14,21,_,_,56,67,_,80
3,16,23,_,48,_,_,_,82
_,19,29,30,49,_,_,70,_
Ticket 102:
_,13,_,33,_,50,65,71,_
_,_,_,37,40,56,_,72,_
9,14,_,_,47,57,_,_,88
Ticket 103:
_,_,22,_,48,54,_,75,83
_,13,23,32,_,_,61,76,_
_,15,26,38,_,56,63,_,_
Ticket 104:
1,_,21,_,42,_,61,70,_
_,11,_,_,48,58,_,77,81
_,_,23,30,_,_,64,78,85
Ticket 105:
4,_,23,_,_,55,61,_,80
_,_,24,32,42,56,_,77,_
5,_,25,36,48,57,_,_,_
Ticket 106:
4,_,24,38,40,_,68,_,_
5,16,_,_,46,_,69,_,82
8,19,_,_,47,55,_,_,85
Ticket 107:
_,10,27,_,47,_,_,_,80
4,15,_,_,48,_,64,_,88
5,_,_,_,49,51,69,72,_
Ticket 108:
_,19,25,31,_,_,62,74,_
5,_,26,33,44,_,_,79,_
8,_,29,39,_,59,_,_,88
Ticket 109:
5,_,22,_,_,_,63,70,82
_,15,24,31,_,_,67,76,_
6,_,28,32,_,55,69,_,_
Ticket 110:
1,15,27,_,_,52,61,_,_
_,_,_,36,43,58,66,_,85
6,17,_,_,_,59,67,_,86
Ticket 111:
_,11,20,_,41,_,_,70,85
_,_,21,30,_,_,61,71,88
5,_,22,_,_,58,68,75,_
Ticket 112:
_,_,21,30,41,56,_,74,_
_,10,24,34,_,_,_,75,80
4,12,_,36,_,_,68,_,89
Ticket 113:
5,_,24,38,_,52,_,71,_
6,_,26,39,40,53,_,_,_
_,16,28,_,42,55,_,72,_
Ticket 114:
1,11,_,33,_,53,_,_,85
6,_,_,35,43,_,_,77,86
7,_,22,38,49,54,_,_,_
Ticket 115:
_,14,_,_,41,53,61,_,89
5,15,25,_,44,_,65,_,_
6,_,_,32,46,58,69,_,_
Ticket 116:
3,15,_,33,41,_,_,_,81
5,16,_,35,_,_,61,76,_
_,_,29,38,49,55,64,_,_
Ticket 117:
3,_,23,30,_,54,64,_,_
4,_,_,33,40,57,69,_,_
8,18,28,39,46,_,_,_,_
Ticket 118:
_,15,_,34,42,52,_,_,80
_,_,_,_,44,53,65,72,81
_,16,_,36,49,55,_,_,_
Ticket 119:
_,_,20,_,41,_,62,75,81
_,16,_,_,_,51,68,77,_
3,_,_,34,46,52,_,_,86
Ticket 120:
5,_,_,38,_,_,63,74,86
9,10,_,_,_,50,64,_,89
_,19,20,_,45,54,69,_,_
Ticket 121:
1,_,25,32,_,_,_,70,85
_,_,28,_,41,_,69,73,87
3,16,29,_,47,_,_,77,_
Ticket 122:
8,_,20,_,43,_,_,75,82
_,10,29,_,45,50,_,77,_
_,12,_,_,48,53,67,_,85
Ticket 123:
_,_,22,_,_,53,64,73,85
_,_,24,_,42,_,65,78,86
_,10,25,30,45,_,66,_,_
Ticket 124:
1,14,_,31,41,_,_,_,80
_,_,20,_,49,58,_,73,89
9,15,23,36,_,_,69,_,_
Ticket 125:
_,12,20,_,43,_,60,77,_
_,14,_,33,_,51,66,79,_
_,16,23,34,46,_,_,_,_
Ticket 126:
_,15,_,33,_,58,62,_,83
9,_,22,_,44,_,_,73,88
_,17,28,36,48,_,69,_,_
Ticket 127:
_,11,27,34,_,_,67,_,85
_,13,_,39,41,50,69,_,_
2,15,_,_,46,_,_,73,86
Ticket 128:
_,_,24,_,42,52,62,_,83
3,14,_,_,43,_,_,77,84
8,16,27,_,_,57,69,_,_
Ticket 129:
_,_,24,33,_,_,61,76,88
8,10,28,34,_,_,62,_,_
_,18,29,36,_,57,64,_,_
Ticket 130:
_,14,_,_,45,52,60,76,_
_,15,_,30,_,57,_,77,85
5,16,29,36,_,58,_,_,_
Ticket 131:
3,13,24,37,_,_,_,75,_
4,14,27,_,42,_,69,_,_
5,15,_,38,45,57,_,_,_
Ticket 132:
_,_,21,32,43,50,_,73,_
_,14,_,35,46,_,60,77,_
_,_,24,36,48,55,66,_,_
Ticket 133:
6,_,22,_,_,50,63,74,_
_,12,23,_,44,54,_,_,84
_,_,25,35,46,_,65,_,86
Ticket 134:
_,13,22,_,_,_,62,74,87
5,_,25,30,_,58,65,_,_
_,16,26,31,49,_,69,_,_
Ticket 135:
3,11,_,_,40,_,_,70,84
4,14,28,33,_,55,_,_,_
7,15,_,37,_,_,62,73,_
Ticket 136:
_,10,_,32,_,58,66,78,_
_,12,21,34,47,_,_,_,80
8,_,25,_,48,_,68,_,81
Ticket 137:
_,_,23,32,40,54,_,_,86
_,_,26,36,44,59,64,_,_
3,18,_,37,48,_,67,_,_
Ticket 138:
_,10,21,_,45,_,_,70,82
5,14,22,30,_,50,_,_,_
_,_,26,38,_,_,65,72,84
Ticket 139:
1,_,21,37,45,_,_,_,86
7,_,26,38,47,_,61,_,_
8,_,28,39,_,51,_,71,_
Ticket 140:
_,18,_,34,_,_,62,_,83
_,19,_,38,_,55,63,_,84
_,_,28,_,49,57,68,_,88
Ticket 141:
3,10,22,_,_,_,62,70,_
_,13,24,_,_,59,65,_,84
4,_,27,31,_,_,66,74,_
Ticket 142:
1,_,_,36,_,54,_,74,84
4,_,25,_,48,_,65,_,85
6,_,29,37,_,_,_,78,88
Ticket 143:
5,12,_,32,42,_,60,_,_
_,_,26,_,48,59,65,78,_
9,15,_,39,49,_,67,_,_
Ticket 144:
1,_,21,_,43,_,63,_,80
4,19,22,_,45,_,64,_,_
5,_,24,_,_,57,_,73,82
Ticket 145:
_,_,_,34,45,53,_,70,_
4,10,_,_,46,_,_,73,84
_,_,23,_,49,57,_,74,89
Ticket 146:
_,_,21,30,49,50,60,_,_
_,17,28,37,_,54,63,_,_
_,19,_,39,_,_,64,72,89
Ticket 147:
4,14,_,32,42,_,_,74,_
_,_,26,33,43,58,_,78,_
6,_,_,_,45,_,65,79,85
Ticket 148:
_,13,22,_,_,50,64,78,_
_,17,23,_,42,52,_,79,_
_,19,28,34,43,_,_,_,85
Ticket 149:
1,14,_,_,41,57,66,_,_
4,17,20,33,_,_,_,78,_
6,18,_,34,44,58,_,_,_
Ticket 150:
8,_,21,_,40,53,_,_,85
_,_,_,34,42,57,67,_,88
_,15,23,37,49,58,_,_,_
Ticket 151:
4,_,22,_,41,50,_,76,_
6,_,28,_,48,53,60,_,_
9,19,_,_,_,56,64,_,88
Ticket 152:
2,10,_,31,_,52,_,_,84
3,_,28,32,42,_,_,_,85
4,11,29,_,_,_,_,79,86
Ticket 153:
_,10,26,_,_,_,62,75,_
_,16,_,37,42,_,65,_,82
4,19,29,_,_,59,67,_,_
Ticket 154:
_,_,_,30,46,58,66,_,83
3,10,_,31,47,59,_,_,_
_,_,26,_,49,_,67,74,88
Ticket 155:
1,18,25,31,40,_,_,_,_
4,_,29,32,_,54,64,_,_
6,_,_,37,_,_,65,70,87
Ticket 156:
_,12,21,35,_,50,66,_,_
_,19,22,_,40,51,_,_,84
_,_,24,_,42,55,_,71,87
Ticket 157:
_,10,21,_,41,_,_,78,84
2,18,_,_,47,50,_,_,86
6,_,25,_,_,52,_,79,89
Ticket 158:
6,12,21,_,41,51,_,_,_
_,15,22,_,42,_,_,73,87
_,18,24,_,45,57,_,_,89
Ticket 159:
_,10,_,_,40,50,66,_,81
_,13,_,36,48,53,68,_,_
2,_,20,_,_,56,_,74,85
Ticket 160:
1,17,28,34,_,_,62,_,_
4,_,_,37,_,_,66,71,86
5,_,_,_,46,58,67,_,88
Ticket 161:
_,_,27,30,43,_,65,70,_
4,14,_,_,_,50,_,75,82
_,18,28,31,_,_,66,_,87
Ticket 162:
_,_,21,31,48,_,_,71,81
_,18,23,39,_,_,61,_,88
7,_,24,_,_,_,65,74,89
Ticket 163:
7,10,_,30,48,_,60,_,_
_,12,_,31,_,51,61,74,_
_,13,_,36,_,53,67,79,_
Ticket 164:
_,14,23,32,40,51,_,_,_
_,16,24,_,41,_,_,75,80
_,19,25,37,_,59,62,_,_
Ticket 165:
_,_,_,32,40,50,63,71,_
2,10,_,33,_,54,_,_,88
5,16,25,38,_,59,_,_,_
Ticket 166:
4,_,_,_,40,53,61,_,83
6,10,_,_,42,_,62,_,84
9,_,_,_,48,59,_,78,88
Ticket 167:
_,_,22,36,_,57,62,_,_
6,_,23,38,_,_,63,73,_
_,_,24,_,44,58,68,76,_
Ticket 168:
_,10,21,_,_,59,_,_,82
4,14,28,38,_,_,_,_,89
7,17,_,39,_,_,60,71,_
Ticket 169:
4,_,_,35,_,50,_,70,80
_,10,20,38,_,56,_,_,82
_,14,_,_,43,_,64,74,85
Ticket 170:
4,14,_,32,_,_,_,74,81
5,_,21,36,_,51,_,_,88
_,19,_,37,47,_,65,78,_
Ticket 171:
_,_,_,32,41,_,64,70,83
3,_,22,37,_,51,_,73,_
9,_,24,38,_,_,_,79,87
Ticket 172:
7,_,_,31,42,55,_,_,83
_,10,27,32,_,_,_,73,84
_,_,_,39,43,_,61,75,87
Ticket 173:
_,_,20,32,41,50,_,_,80
_,_,_,38,44,54,_,75,89
_,11,25,39,45,_,_,78,_
Ticket 174:
7,_,20,33,40,_,_,73,_
8,13,22,35,41,_,_,_,_
_,_,24,36,49,_,68,_,85
Ticket 175:
_,_,23,31,41,54,_,72,_
_,_,25,_,48,_,64,76,80
1,_,_,_,49,_,67,77,83
Ticket 176:
_,11,_,32,_,_,65,77,80
2,17,_,39,_,52,_,_,84
6,19,25,_,_,53,_,_,89
Ticket 177:
_,_,_,34,46,_,60,70,81
_,13,21,39,48,_,_,_,_
_,19,_,_,49,_,69,76,82
Ticket 178:
_,_,20,30,42,51,60,_,_
6,_,23,_,49,53,61,_,_
8,15,28,32,_,57,_,_,_
Ticket 179:
_,_,22,30,46,50,60,_,_
_,13,_,_,_,59,_,77,83
4,_,25,39,48,_,66,_,_
Ticket 180:
_,_,23,34,_,50,_,74,_
3,_,_,36,41,_,69,79,_
4,_,_,37,48,56,_,_,83
Ticket 181:
5,_,_,31,_,52,_,70,86
_,15,_,35,40,_,63,74,_
7,18,_,_,47,54,_,78,_
Ticket 182:
_,13,_,30,_,53,62,_,_
2,_,_,33,40,_,65,75,_
8,_,_,37,46,_,68,_,86
Ticket 183:
_,_,20,30,_,52,63,70,_
_,13,25,31,_,53,66,_,_
_,_,_,_,41,55,69,76,82
Ticket 184:
_,12,21,_,_,58,61,76,_
_,14,_,39,45,59,62,_,_
_,17,28,_,46,_,63,_,88
Ticket 185:
2,_,_,33,40,57,_,72,_
3,13,21,_,_,_,_,73,84
8,17,24,_,_,_,60,74,_
Ticket 186:
_,17,20,38,47,51,_,_,_
_,19,_,39,49,_,67,71,_
_,_,24,_,_,59,69,77,_
Ticket 187:
_,15,22,_,43,52,_,76,_
3,16,25,_,_,_,63,_,87
6,_,26,_,46,54,_,79,_
Ticket 188:
_,15,_,31,47,53,_,70,_
4,_,22,34,_,56,63,_,_
_,19,29,35,_,58,_,_,88
Ticket 189:
_,11,_,31,_,50,_,_,82
8,_,_,34,45,_,61,_,85
_,17,27,35,_,55,_,77,_
Ticket 190:
_,_,20,33,_,50,_,72,_
_,10,21,_,_,58,63,_,84
_,16,29,39,49,_,66,_,_
Ticket 191:
_,10,_,_,42,55,68,76,_
_,13,_,_,45,58,_,78,80
_,14,_,_,47,59,69,79,_
Ticket 192:
2,18,20,_,40,50,_,_,_
5,_,_,32,42,53,64,_,_
_,_,_,33,43,59,65,72,_
Ticket 193:
_,14,20,_,48,_,_,71,87
_,_,29,35,_,_,60,72,88
4,17,_,_,_,54,61,_,89
Ticket 194:
1,_,_,31,41,55,60,_,_
7,_,25,37,_,57,_,_,85
8,_,_,38,42,_,62,_,87
Ticket 195:
2,16,24,31,_,_,_,_,81
_,19,26,36,_,_,61,_,84
3,_,_,_,48,54,63,_,87
Ticket 196:
_,_,21,_,40,50,66,_,84
_,_,24,31,42,53,_,76,_
2,13,_,33,_,56,67,_,_
Ticket 197:
1,11,_,30,44,_,_,73,_
2,15,_,_,_,53,_,74,89
9,_,22,38,_,_,65,78,_
Ticket 198:
9,_,26,_,42,51,_,_,83
_,11,28,_,_,54,62,_,84
_,_,29,39,48,59,64,_,_
Ticket 199:
_,_,_,31,40,_,62,74,83
_,14,22,_,_,52,66,76,_
_,15,28,35,_,_,67,_,84
Ticket 200:
_,10,_,31,49,_,61,_,85
_,_,_,37,_,54,65,71,86
9,19,_,39,_,_,68,79,_
